time	V(v_out)	V(n002)
1.749999999999994e-005	1.035209e+002	6.030695e+001
1.750245073338244e-005	1.034999e+002	6.005673e+001
1.750571837789245e-005	1.034714e+002	5.976641e+001
1.751225366691247e-005	1.034127e+002	5.930634e+001
1.752532424495251e-005	1.032912e+002	5.868912e+001
1.755146540103258e-005	1.030409e+002	5.798043e+001
1.758328600636350e-005	1.027311e+002	5.749411e+001
1.762811791907164e-005	1.022918e+002	5.701803e+001
1.769249531021182e-005	1.016604e+002	5.638401e+001
1.782125009249218e-005	1.003975e+002	5.512398e+001
1.836755757234814e-005	9.504168e+001	4.977994e+001
1.882000000000001e-005	9.060973e+001	4.535936e+001
1.883539644376706e-005	9.046716e+001	4.582981e+001
1.886618933130105e-005	9.021045e+001	4.724631e+001
1.892777510636903e-005	8.980245e+001	5.076457e+001
1.898659373575904e-005	8.954594e+001	5.402294e+001
1.905421817322548e-005	8.939343e+001	5.812203e+001
1.908993504671033e-005	8.936253e+001	6.365731e+001
1.910816923811050e-005	8.935990e+001	7.133537e+001
1.912041315933061e-005	8.935987e+001	7.994187e+001
1.912596848955824e-005	8.935986e+001	8.476941e+001
1.912933603120612e-005	8.935986e+001	8.801384e+001
1.913087222608966e-005	8.935988e+001	8.943519e+001
1.913145077016949e-005	8.935989e+001	8.979308e+001
1.913174867477314e-005	8.935990e+001	8.987667e+001
1.913196321410877e-005	8.935992e+001	8.991386e+001
1.913221589234463e-005	8.935995e+001	8.995396e+001
1.913272124881636e-005	8.936003e+001	9.002825e+001
1.913345590540258e-005	8.936019e+001	9.012846e+001
1.913464842992160e-005	8.936054e+001	9.027842e+001
1.913618251357403e-005	8.936117e+001	9.045312e+001
1.913910654463362e-005	8.936284e+001	9.074540e+001
1.914302044324042e-005	8.936590e+001	9.107248e+001
1.914979194046675e-005	8.937291e+001	9.151976e+001
1.915841371180334e-005	8.938432e+001	9.194855e+001
1.917278016825175e-005	8.940755e+001	9.247439e+001
1.918834387957115e-005	8.943727e+001	9.290494e+001
1.921215081264710e-005	8.948982e+001	9.340757e+001
1.924345505777841e-005	8.956802e+001	9.386990e+001
1.930431714821041e-005	8.973352e+001	9.438026e+001
1.936072478270310e-005	8.989266e+001	9.462271e+001
1.943019051725342e-005	9.009074e+001	9.482110e+001
1.948310949239577e-005	9.024164e+001	9.497173e+001
1.951999999999998e-005	9.034682e+001	9.507555e+001
1.952008089816217e-005	9.034706e+001	9.507654e+001
1.952024269448645e-005	9.034752e+001	9.507742e+001
1.952056628713500e-005	9.034844e+001	9.507835e+001
1.952121347243221e-005	9.035029e+001	9.508019e+001
1.952250784302665e-005	9.035398e+001	9.508388e+001
1.952509658421540e-005	9.036136e+001	9.509126e+001
1.953027406659301e-005	9.037612e+001	9.510600e+001
1.953600384332595e-005	9.039246e+001	9.512231e+001
1.954159410307303e-005	9.040839e+001	9.513824e+001
1.954672514415127e-005	9.042303e+001	9.515284e+001
1.955204384102038e-005	9.043819e+001	9.516798e+001
1.955729377223095e-005	9.045316e+001	9.518292e+001
1.956286085459311e-005	9.046903e+001	9.519877e+001
1.956825035509568e-005	9.048440e+001	9.521411e+001
1.957423040270198e-005	9.050144e+001	9.523112e+001
1.957981198602154e-005	9.051736e+001	9.524702e+001
1.958668726330739e-005	9.053696e+001	9.526658e+001
1.959347806791516e-005	9.055632e+001	9.528591e+001
1.960320095274553e-005	9.058404e+001	9.531358e+001
1.961339338346451e-005	9.061310e+001	9.534258e+001
1.963051747487553e-005	9.066192e+001	9.539131e+001
1.964991601894998e-005	9.071722e+001	9.544652e+001
1.968871310709878e-005	9.082782e+001	9.555691e+001
1.986709443433266e-005	9.133624e+001	9.606434e+001
2.010493620397780e-005	9.201387e+001	9.674057e+001
2.058061974326807e-005	9.336818e+001	9.809172e+001
2.153198682184861e-005	9.607359e+001	1.007898e+002
2.250854932184861e-005	9.884660e+001	1.035542e+002
2.302343749999993e-005	1.003063e+002	1.050087e+002
2.352343749999989e-005	1.017216e+002	1.064184e+002
2.399999999999993e-005	1.030692e+002	1.077606e+002
2.400104856057283e-005	1.030721e+002	1.077635e+002
2.400314568171851e-005	1.030781e+002	1.077694e+002
2.400513746979847e-005	1.030837e+002	1.077750e+002
2.400705976461257e-005	1.030891e+002	1.077804e+002
2.401090435424067e-005	1.031000e+002	1.077912e+002
2.401512478136217e-005	1.031119e+002	1.078031e+002
2.402167184780129e-005	1.031304e+002	1.078215e+002
2.402922803134778e-005	1.031517e+002	1.078428e+002
2.404058576403593e-005	1.031838e+002	1.078747e+002
2.405511894275271e-005	1.032249e+002	1.079156e+002
2.407826595075227e-005	1.032902e+002	1.079807e+002
2.411368226037036e-005	1.033902e+002	1.080780e+002
2.418451487960641e-005	1.035863e+002	1.080787e+002
2.424099165040971e-005	1.037261e+002	1.074905e+002
